Morganne,Sheavills,true,2003-04-07,2015-02-13,1,Raleigh,North Carolina,88 Jackson Trail,27690,msheavills0@uol.com.br,9194266981,0
Kristoforo,Heighway,false,2005-01-23,2014-05-11,0,Milwaukee,Wisconsin,4 Sauthoff Park,53205,kheighway1@ovh.net,9204475773,0
Bat,Gateley,true,2002-01-30,2016-11-14,1,Columbus,Ohio,25548 Butternut Terrace,43240,bgateley2@wunderground.com,6141807008,0
Rodi,Ruppele,false,2001-04-16,2015-11-05,2,Tulsa,Oklahoma,422 Debs Terrace,74133,rruppele3@paginegialle.it,9183377268,1
Constancia,Bensley,false,2004-12-15,2018-05-05,2,Columbia,South Carolina,03555 Utah Plaza,29220,cbensley4@technorati.com,8036341297,0
Bonnee,Wildes,true,2001-04-23,2014-10-25,1,Amarillo,Texas,9933 Glendale Circle,79176,bwildes5@ifeng.com,8067646465,1
Carlyn,Erley,false,2002-11-04,2019-03-08,3,Chicago,Illinois,3949 Pepper Wood Circle,60609,cerley6@unblog.fr,3124106813,2
Jedediah,Derrick,false,2001-03-13,2015-12-31,1,El Paso,Texas,77 Hanover Circle,79989,jderrick7@army.mil,9151756974,2
Nata,Prudham,false,2000-04-22,2014-11-07,2,Trenton,New Jersey,2352 Lerdahl Court,08638,nprudham8@angelfire.com,6093445985,2
Corrina,Dionsetto,false,2003-07-18,2020-04-21,2,Fullerton,California,06898 Fairview Drive,92640,cdionsetto9@surveymonkey.com,5599549480,0
Lionello,Aviss,true,2001-03-31,2018-01-28,3,Charlotte,North Carolina,71960 Leroy Terrace,28215,lavissa@hexun.com,7046059632,2
Donni,Briggdale,true,2001-10-08,2018-06-25,2,Oklahoma City,Oklahoma,706 Ruskin Trail,73190,dbriggdaleb@goo.gl,4054636109,0
Nesta,Demschke,true,2003-09-09,2016-12-15,1,Houston,Texas,7 Farragut Junction,77070,ndemschkec@infoseek.co.jp,8327571236,0
Derril,Hanson,true,2000-08-19,2014-05-22,3,Columbus,Ohio,5907 Dexter Plaza,43215,dhansond@ihg.com,5137189915,1
Jarrad,Olivia,false,2000-02-07,2014-04-30,3,Las Vegas,Nevada,19722 Summit Trail,89110,joliviae@wikispaces.com,7023201105,1
Liz,Lafay,true,2002-08-06,2019-04-25,2,Helena,Montana,022 Coleman Place,59623,llafayf@nbcnews.com,4061845975,2
Celia,Rolf,false,2001-06-18,2020-01-28,2,Norfolk,Virginia,9825 Pierstorff Trail,23504,crolfg@addtoany.com,7576891119,1
Ophelia,Yaknov,true,2000-09-09,2018-04-18,2,Fort Worth,Texas,39968 East Court,76129,oyaknovh@weather.com,8171419303,1
Dawn,Sambeck,true,2001-02-21,2019-09-05,1,Madison,Wisconsin,8396 Almo Avenue,53785,dsambecki@quantcast.com,6081607071,1
Nady,Joesbury,true,2004-09-12,2014-12-25,1,Jacksonville,Florida,390 Melvin Drive,32225,njoesburyj@wordpress.org,9043266069,1
